id,judul,link,kategori,tanggal,klaim,fakta,link_counter
0,vaksin sengaja membuat anak sakit demi keuntungan,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-vaksin-sengaja-membuat-anak-sakit-demi-keuntungan,hoaks,2026-04-27,"Beredar unggahan di media sosial Instagram berisi narasi yang mengeklaim bahwa industri vaksin sengaja membuat anak-anak sakit demi meraup keuntungan miliaran dolar. Vaksinasi dini diklaim memicu berbagai penyakit seperti Attention Deficit Disorder (ADD), Attention Deficit Hyperactivity Disorder (ADHD), asma, hingga eksim. Penyakit-penyakit ini disebut membuat anak-anak bergantung pada obat-obatan seumur hidup.","Faktanya, klaim tersebut adalah tidak benar. Dilansir dari tempo.co, vaksinasi tidak terkait dengan ADHD, autisme, maupun eksim pada anak. Dosen Departemen Ilmu Penyakit Dalam Divisi Alergi-Imunologi Klinik Universitas Airlangga Ari Baskoro, menegaskan tidak ada penelitian yang menunjukkan vaksin meningkatkan insiden autisme dan ADHD. Melansir dari situs medicalnewstoday.com, vaksin tidak secara langsung menyebabkan penyakit-penyakit tersebut, namun dapat memicu gejala pada mereka yang memiliki kerentanan genetik akibat respons peradangan tubuh. Warga dengan riwayat genetik rentan diimbau berkonsultasi dengan dokter sebelum menjalani vaksinasi.","['https://www.tempo.co/cekfakta/keliru-industri-vaksin-sengaja-membuat-anak-sakit-demi-keuntungan-2131954', 'https://www.medicalnewstoday.com/articles/vaccines-eczema-questions']"
1,pengajuan pinjaman koperasi merah putih lewat whatsapp,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-pengajuan-pinjaman-koperasi-merah-putih-lewat-whatsapp,hoaks,2026-04-27,Beredar sebuah unggahan video di media sosial Facebook dengan narasi yang mengeklaim Menteri Keuangan Purbaya Yudhi Sadewa menyampaikan ke semua masyarakat  yang masih bingung cara pengajuan di Koperasi Merah Putih bisa langsung ke nomor WhatsApp yang ada dalam unggahan.,"Faktanya, klaim tersebut adalah tidak benar. Dilansir dari turnbackhoax.id,  setelah menganalisis konten menggunakan alat deteksi artificial intelligence (AI) Hive Moderation, konten yang beredar merupakan hasil rekayasa kecerdasan buatan  atau AI dengan probabilitas mencapai 99,4 persen. Sepanjang penelusuran, tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim pengajuan pinjaman Koperasi Merah Putih lewat WhatsApp.",['https://turnbackhoax.id/articles/33745-penipuan-pengajuan-pinjaman-koperasi-merah-putih-lewat-whatsapp']
2,tautan pendaftaran pemutihan sertifikat tanah gratis tahun 2026,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-pendaftaran-pemutihan-sertifikat-tanah-gratis-tahun-2026,hoaks,2026-04-27,Beredar sebuah unggahan video di media sosial TikTok yang mengeklaim adanya informasi tersedianya layanan pemutihan sertifikat tanah gratis 2026 melalui tautan yang dicantumkan pada bio akun.,"Faktanya, klaim tersebut adalah tidak benar. Dilansir dari tirto.id, setelah dilakukan pencarian gambar terbalik (reverse image) untuk mencari keaslian video, hasilnya mengarah ke laman bbc.com berjudul ""Sertifikat ganda di Bekasi gusur rumah warga – Mengapa BPN terbitkan sertifikat di atas tanah sengketa?"" yang menampilkan foto serupa dengan video yang beredar. Gambar tersebut memperlihatkan warga bernama Yealdi memegang sertifikat hak milik atas tanahnya di Desa Setiamekar, Kabupaten Bekasi. Sertifikat itu keluar pada 15 Mei 2015. Selain itu, pencari menggunakan situs HIve Moderation juga menunjukan persentase penggunaan artificial intelligence (AI) dalam video. Hasil analisis menunjukkan bahwa video memiliki probabilitas 98,4 persen sebagai video hasil manipulasi AI. Melansir dari laman resmi  Kementerian Agraria dan Tata Ruang Badan Pertahanan Nasional yakin atrbpn.go.id, Kementerian ATR/BPN melalui  program PTSL memudahkan seluruh masyarakat untuk memperoleh sertifikat tanah yang sah tanpa ribet dan dengan biaya yang lebih terjangkau. Prosesnya pun lebih cepat dan transparan, memberikan kepastian hukum atas tanah yang dimiliki.","['https://tirto.id/hoaks-tautan-pendaftaran-pemutihan-sertifikat-tanah-gratis-2026-huGP', 'https://www.bbc.com/indonesia/articles/cx2yv2dpr4do', 'https://www.atrbpn.go.id/infografis/ayo-daftarkan-tanahmu-melalui-ptsl']"
3,kode token untuk listrik gratis tiga bulan,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-kode-token-untuk-listrik-gratis-tiga-bulan,hoaks,2026-04-26,Beredar sebuah unggahan di media sosial Facebook yang mengeklaim adanya kode tertentu yang dapat memberikanlayanan listrik gratis selama tiga bulan.,"Faktanya, klaim kode token tertentu membuat listrik gratis tiga bulan adalah hoaks. Dilansir dari tempo.co, Manager PLN Unit Layanan Pelanggan (ULP) Kabupaten Lamongan Selamet, menyatakan secara teknis cara tersebut tidak bisamembuat token listrik bertahan hingga tiga bulan. Dosen Teknik Elektro Universitas Riau Dr. Iswadi Hasyim Rosma, juga menyatakan jika hal itu terjadi, PLN akan merugi.",['https://www.tempo.co/cekfakta/keliru-kode-token-untuk-listrik-gratis-tiga-bulan-2131124']
4,artikel demo mahasiswa di jakarta tuntut presiden dan wapres dimakzulkan pada 20 april 2026,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-artikel-demo-mahasiswa-di-jakarta-tuntut-presiden-dan-wapres-dimakzulkan-pada-20-april-2026,hoaks,2026-04-26,"Beredar di media sosial sebuah tangkapan layar dari media  merdeka.com yang berjudul ""Demo para Mahasiswa di Jakarta menuntut Prabowo dan Gibran segera di makzulkan dan Jokowi di nepalkan"".","Faktanya, artikel tersebut adalah tidak benar. Dilansir dari liputan6.com, setelah ditelusuri di media berita merdeka.com tidakditemukan artikel seperti dalam unggahan tersebut. Hasil tangkapan layar tersebut identik dengan artikel yang diterbitkankompas.com yang berjudul ""Demonstrasi Mahasiswa Indonesia dari Masa ke Masa"" yang tayang pada 18 April 2022. Foto dalamtangkapan layar bukan foto unjuk rasa pada 20 April 2026 lalu. Aksi unjuk rasa mahasiswa di Jakarta pada 20 April 2026 memangdigelar di Monas dan Gedung DPR/MPR. Namun, jumlah massa dan tuntutan yang disampaikan tidak sesuai dengan unggahan.","['https://www.liputan6.com/cek-fakta/read/6322465/cek-fakta-hoaks-artikel-demo-mahasiswa-di-jakarta-tuntut-presiden-dan-wapres-dimakzulkan-pada-20-april-2026', 'https://kompaspedia.kompas.id/baca/infografik/kronologi/demonstrasi-mahasiswa-indonesia-dari-masa-ke-masa']"
5,anggaran pendapatan dan belanja negara indonesia hanya cukup tiga bulan,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-anggaran-pendapatan-dan-belanja-negara-indonesia-hanya-cukup-tiga-bulan,hoaks,2026-04-26,Beredar sebuah unggahan video di media sosial TikTok yang mengeklaim bahwa Anggaran Pendapatan dan Belanja Negara (APBN) Indonesia hanyacukup untuk 3 bulan dan nilai rupiah bisa menyentuh Rp20000 per dolar AS.,"Faktanya, klaim tersebut adalah tidak benar. Dilansir dari tirto.id, setelah dilakukan pencarian gambar terbalik atau reverse image untuk mencarikeaslian video, hasilnya tidak ditemukan informasi dari media kredibel. Justru, pencarian tersebut mengarah ke akun Instagram milikINDONESIA.GO.ID @indonesiago.ig,  yang menampilkan gambar asli pada unggahannya. Pada tayangan foto pada slide ke-3, terlihat foto serupaseperti unggahan yang beredar. Pada unggahan disebutkan bahwa Purbaya hadir dalam Rapat Paripurna DPR RI pada Selasa, 23 September 2025 yang resmi mengesahkan RUU APBN 2026 menjadi Undang-Undang. Keputusan ini telah disetujui semua fraksi di DPR RI. Dengan begitu, APBN 2026 sah menjadi landasan fiskal pertama bagi pemerintahan Presiden Prabowo Subianto. Selain itu, Kementerian Keuangan melalui situs resminyakemenkeu.go.id,  menegaskan bahwa Menteri Keuangan Purbaya memastikan APBN Triwulan I 2026 solid, penerimaan pajak tumbuh 20,7%.","['https://tirto.id/salah-narasi-sebut-apbn-ri-hanya-cukup-3-bulan-huUW', 'https://www.instagram.com/p/DPFmlJmEpsO/?img_index=4', 'https://www.kemenkeu.go.id/informasi-publik/publikasi/berita-utama/Menkeu-Pastikan-APBN-Triwulan-I-2026-Solid']"
6,ade armando adalah pendiri mafindo,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-ade-armando-adalah-pendiri-mafindo,hoaks,2026-04-25,Beredar sebuah unggahan di media sosial Facebook yang mengeklaim bahwa Ade Armando merupakan pendiri Masyarakat Anti Fitnah Indonesia (Mafindo).,"Faktanya, narasi yang menyebut Ade Armando merupakan pendiri Masyarakat Anti Fitnah Indonesia (Mafindo) adalah hoaks. Dilansir dari turnbackhoax.id, Ketua Presidium Mafindo Septiaji Eko Nugroho, menegaskan bahwa Mafindo merupakan organisasi independen, nonpartisan, serta tidak berafiliasi dengan kepentingan politik praktis manapun. Septiaji Eko Nugroho juga menyampaikan bahwa Mafindo menghargai kebebasan berpendapat sebagai bagian dari kehidupan demokrasi. Oleh karena itu, pihaknya  mengimbau masyarakat untuk lebih cermat dalam menerima dan menyebarkan informasi agar tidak menimbulkan kesalahpahaman",['https://turnbackhoax.id/articles/33769-salah-ade-armando-adalah-pendiri-mafindo']
7,akun facebook mengatasnamakan wakil bupati karo komando tarigan,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-akun-facebook-mengatasnamakan-wakil-bupati-karo-komando-tarigan,hoaks,2026-04-25,Beredar sebuah akun Facebook yang mengatasnamakan Wakil Bupati Karo Komando Tarigan. Akun Facebook tersebut menggunakan nama dan foto profil Komando Tarigan.,"Faktanya, akun Facebook yang mengatasnamakan Wakil Bupati Karo Komando Tarigan adalah tidak benar. Dilansir dari karokab.go.id, Pemerintah Kabupaten Karo menegaskan bahwa Wakil Bupati Karo maupun pejabat daerah lainnya tidak pernah melakukan komunikasi pribadi melalui pesan untuk transaksi keuangan atau penawaran komersial apa pun. Dinas Komunikasi dan Informatika Kabupaten Karo mengimbau kepada seluruh masyarakat untuk mewaspadai aksi penipuan melalui media sosial agar masyarakat terhindar dari kerugian akibat informasi yang menyesatkan.",['https://karokab.go.id/index.php/berita/kumpulan-berita-2/waspada-penipuan-dinas-kominfo-karo-klarifikasi-akun-messenger-palsu-wakil-bupati-karo-komando-tarigan']
8,hotman paris umumkan bantuan dap australia untuk umat kristen indonesia,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-hotman-paris-umumkan-bantuan-dap-australia-untuk-umat-kristen-indonesia,hoaks,2026-04-25,Beredar di media sosial Facebook unggahan yang mengeklaim pengacara Hotman Paris Hutapea mengumumkan adanya program bantuan langsung atau Direct Aid Program (DAP) dari Pemerintah Australia untuk umat Kristen di Indonesia. Untuk mendapat bantuan tersebut dapat menghubungi lewat nomor WhatsApp yang ada  dalam unggahan.,"Faktanya, setelah ditelusuri menggunakan teknik reverse image search, konten itu merupakan gabungan dua video berbeda. Video pertama yang menampilkan seorang presenter televisi identik dengan unggahan di kanal YouTube tvOneNews. Dalam video aslinya, ia tidak menyampaikan informasi bahwa Hotman Paris mengumumkan bantuan DAP dari Pemerintah Australia. Sementara, video kedua yang menampilkan Hotman, identik dengan unggahan di akun Instagram milik Hotman Paris @hotmanparisofficial. Dalam video itu, Hotman sama sekali tidak membahas mengenai bantuan dari Pemerintah Australia.","['https://www.youtube.com/watch?reload=9&v=_iE1rhFOKpQ', 'https://www.instagram.com/reels/DIylz4TT8gr/']"
9,tautan lowongan kerja puskesmas indonesia,https://www.komdigi.go.id/berita/berita-hoaks/detail/hoaks-tautan-lowongan-kerja-puskesmas-indonesia,hoaks,2026-04-25,Beredar sebuah unggahan di media sosial TikTok berisi tautan dengan narasi yang mengeklaim terdapat lowongan kerja terbaru dari Puskesmas Indonesia.,"Faktanya, klaim tersebut adalah tidak benar. Dilansir dari turnbackhoax.id, tautan mengarah ke laman yang meminta pengisian data pribadi berupa nama, asal provinsi, usia, jenis kelamin, hingga nomor Telegram.  Setelah memasukkan kata kunci “lowongan kerja puskesmas Indonesia” ke mesin pencari Google, hasilnya tidak ditemukan informasi terkait klaim dalam unggahan.",['https://turnbackhoax.id/articles/33744-penipuan-tautan-lowongan-kerja-puskesmas-indonesia']
